name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key
Dirty Stick,YoungBoy Never Broke Again,0nEWVyeYLtIi3JUHpASGiU,0.614,0.789,-4.859,1,0.541,0.17800000000000002,0.0,0.396,0.349,106.704,169952,5,8,1.0,26.09.2020,65,11.09.2020,107,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b'],0
The Voice,Lil Durk,195gauSXE6Q2IKmCrarHut,0.534,0.8190000000000001,-2.099,0,0.102,0.0259,0.0,0.124,0.129,116.632,179724,5,6,1.0,19.09.2020,69,04.09.2020,2,87,1879672,1,['3hcs9uc56yIGFCSy9leWe7'],5
Love You Like I Used To,Russell Dickerson,1D7cfiC5mxqHfTCcOiRBej,0.501,0.7879999999999999,-4.624,1,0.0415,0.12,0.0,0.13699999999999998,0.61,152.047,186613,4,7,1.0,19.09.2020,75,11.02.2020,52,72,268896,1,['1E2AEtxaFaJtH0lO7kgNKw'],10
Everywhere But On,Matt Stell,0ifYeH4gNXEyba41xr3I1w,0.563,0.722,-3.972,1,0.0279,0.0345,0.0,0.0795,0.309,149.903,192586,4,8,1.0,19.09.2020,71,25.10.2019,21,65,24070,1,['7EekKnlf2HwNaLLpL9Cpgy'],6
Why Would I Stop?,Big Sean,1dwCzi0lyF7XUWaQPeCQpu,0.778,0.727,-6.115,0,0.0837,0.0212,0.0,0.10099999999999999,0.218,119.97200000000001,152263,4,5,1.0,19.09.2020,34,23.10.2020,65,87,7817299,1,['0c173mlxpT3dSFRgMO8XPh'],1
Starting Over,Chris Stapleton,3TNSVsiFngfe68UJpMq1oS,0.638,0.5379999999999999,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4,12,1.0,12.09.2020,76,27.08.2020,66,79,2684858,1,['4YLtscXsxbVgi031ovDDdh'],10
Expensive (feat. Nicki Minaj),Ty Dolla $ign,2Kv3JWOzRJsaen5vjmTVJL,0.866,0.531,-6.859,1,0.0703,0.0379,0.0,0.0937,0.266,99.069,135740,4,5,1.0,12.09.2020,64,23.10.2020,1,92,22605970,2,"['7c0XG5cIJTrrAgEC3ULPiq', '0hCNtLu0JehylgoiP8L4Gh']",9
Lets Link,WhoHeem,6fMzgFFGzWCwiHMzDzNpp5,0.8390000000000001,0.6829999999999999,-9.232000000000001,0,0.165,0.006670000000000001,0.0,0.24100000000000002,0.522,120.00299999999999,159955,4,7,1.0,12.09.2020,75,20.08.2020,1,73,16720,1,['5KYEMMz9O9iLIESifKAEOp'],10
Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,0.746,0.765,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199053,4,10,1.0,05.09.2020,97,28.08.2020,14,97,24481851,1,['3Nrfpe0tUJi4K4DXYWgMUX'],6
"The Plan - From the Motion Picture ""TENET""",Travis Scott,551xyaSJsg8hILXFq9JdST,0.433,0.44299999999999995,-10.568,0,0.0361,0.0922,0.000293,0.11699999999999999,0.0363,79.903,185850,3,12,1.0,05.09.2020,78,22.08.2020,196,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY'],1
