,acousticness,artist,chart_date,danceability,energy,instrumentalness,length,liveness,loudness,mode,name,popularity,release_date,song_id,speechiness,target,tempo,time_signature,valence,weeks,duration_ms,sections,artist_popularity,artist_followers,number_of_artists,list_of_artists
8,0.178,YoungBoy Never Broke Again,2020-09-26,0.614,0.789,0.0,169952,0.396,-4.859,1,Dirty Stick,65,2020-09-11,0nEWVyeYLtIi3JUHpASGiU,0.541,1.0,106.704,5,0.349,107,169952,8,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
0,0.0259,Lil Durk,2020-09-19,0.534,0.819,0.0,179724,0.124,-2.099,0,The Voice,69,2020-09-04,195gauSXE6Q2IKmCrarHut,0.102,1.0,116.632,5,0.129,2,179724,6,87,1879672,1,['3hcs9uc56yIGFCSy9leWe7']
1,0.12,Russell Dickerson,2020-09-19,0.501,0.788,0.0,186613,0.137,-4.624,1,Love You Like I Used To,75,2020-02-11,1D7cfiC5mxqHfTCcOiRBej,0.0415,1.0,152.047,4,0.61,52,186613,7,72,268896,1,['1E2AEtxaFaJtH0lO7kgNKw']
2,0.0345,Matt Stell,2020-09-19,0.563,0.722,0.0,192586,0.0795,-3.972,1,Everywhere But On,71,2019-10-25,0ifYeH4gNXEyba41xr3I1w,0.0279,1.0,149.903,4,0.309,21,192586,8,65,24070,1,['7EekKnlf2HwNaLLpL9Cpgy']
3,0.0212,Big Sean,2020-09-19,0.778,0.727,0.0,152263,0.101,-6.115,0,Why Would I Stop?,34,2020-10-23,1dwCzi0lyF7XUWaQPeCQpu,0.0837,1.0,119.972,4,0.218,65,152263,5,87,7817299,1,['0c173mlxpT3dSFRgMO8XPh']
0,0.452,Chris Stapleton,2020-09-12,0.638,0.538,0.000415,240413,0.0695,-8.445,1,Starting Over,76,2020-08-27,3TNSVsiFngfe68UJpMq1oS,0.0315,1.0,89.124,4,0.318,66,240413,12,79,2684858,1,['4YLtscXsxbVgi031ovDDdh']
1,0.0379,Ty Dolla $ign,2020-09-12,0.866,0.531,0.0,135740,0.0937,-6.859,1,Expensive (feat. Nicki Minaj),64,2020-10-23,2Kv3JWOzRJsaen5vjmTVJL,0.0703,1.0,99.069,4,0.266,1,135740,5,92,22605970,2,"['7c0XG5cIJTrrAgEC3ULPiq', '0hCNtLu0JehylgoiP8L4Gh']"
2,0.00667,WhoHeem,2020-09-12,0.839,0.683,0.0,159955,0.241,-9.232,0,Lets Link,75,2020-08-20,6fMzgFFGzWCwiHMzDzNpp5,0.165,1.0,120.003,4,0.522,1,159955,7,73,16720,1,['5KYEMMz9O9iLIESifKAEOp']
0,0.0112,BTS,2020-09-05,0.746,0.765,0.0,199053,0.0936,-4.41,0,Dynamite,97,2020-08-28,0t1kP63rueHleOhQkYSXFY,0.0993,1.0,114.044,4,0.737,14,199053,10,97,24481851,1,['3Nrfpe0tUJi4K4DXYWgMUX']
1,0.0922,Travis Scott,2020-09-05,0.433,0.443,0.000293,185850,0.117,-10.568,0,"The Plan - From the Motion Picture ""TENET""",78,2020-08-22,551xyaSJsg8hILXFq9JdST,0.0361,1.0,79.903,3,0.0363,196,185850,12,96,13309717,1,['0Y5tJX1MQlPlqiwlOH1tJY']
2,0.189,Maluma,2020-09-05,0.787,0.728,2.29e-05,200197,0.0629,-3.455,0,Hawái,94,2020-07-29,4uoR6qeWeuL4Qeu2qJzkuG,0.389,1.0,180.066,4,0.545,22,200197,7,94,21494076,1,['1r4hJ1h58CWwUQe3MxPuau']
3,0.053,YoungBoy Never Broke Again,2020-09-05,0.511,0.654,0.0,156662,0.316,-6.133,1,All In,72,2020-09-11,7CdoE8U5DwrwCaLoyf3ME0,0.314,1.0,154.868,4,0.279,102,156662,9,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
4,0.786,Tate McRae,2020-09-05,0.642,0.374,0.0,169265,0.0906,-9.386,1,you broke me first,94,2020-04-17,45bE4HXI0AwGZXfZtMp8JR,0.0545,1.0,124.099,4,0.0799,1,169265,12,86,859212,1,['45dkTj5sMRSjrmBSBeiHym']
0,0.428,Morgan Wallen,2020-08-29,0.457,0.774,4.29e-05,210122,0.119,-5.201,1,7 Summers,81,2020-08-14,0tbjiOUl4k492KPdWZS9sy,0.0336,1.0,203.863,4,0.59,66,210122,10,84,935459,1,['4oUHIQIBe0LHzYfvXNW4QM']
1,0.00115,Miley Cyrus,2020-08-29,0.705,0.814,0.00312,223279,0.203,-5.466,0,Midnight Sky,91,2020-08-14,27ycaQnQAxaPiyeg3nr2aB,0.0346,1.0,110.0,4,0.259,237,223279,12,89,12991664,1,['5YGY8feqx7naU7z4HrwZM6']
2,0.535,YoungBoy Never Broke Again,2020-08-29,0.877,0.607,0.0,151248,0.138,-7.818,0,Kacey Talk,79,2020-09-11,1SF8piqsZWn86DajVKih8F,0.15,1.0,127.055,4,0.773,101,151248,8,88,5702887,1,['7wlFDEWiM5OoIAt8RSli8b']
3,0.584,Conan Gray,2020-08-29,0.357,0.425,0.0,198040,0.322,-7.301,1,Heather,93,2020-03-20,4xqrdfXkTW4T0RauPLv3WA,0.0333,1.0,102.078,3,0.27,1,198040,11,86,1962937,1,['4Uc8Dsxct0oMqx0P6i60ea']
4,0.162,Chase Rice,2020-08-29,0.681,0.726,0.0,176728,0.119,-5.1,1,Lonely If You Are,71,2020-01-24,5TI10v8sy9VPp5YhVRVK1f,0.0453,1.0,84.98,4,0.819,55,176728,6,70,830698,1,['6pBNfggcZZDCmb0p92OnGn']
0,0.131,Rod Wave,2020-08-22,0.681,0.572,0.0,173923,0.181,-10.441,0,Letter From Houston,71,2020-08-07,16UIEoHFNZB9hzTvDO7m8m,0.0708,1.0,156.066,4,0.758,41,173923,9,82,1291018,1,['45TgXXqMDdF8BkjA83OM7z']
1,0.00786,Ava Max,2020-08-22,0.637,0.69,0.0,162398,0.124,-4.057,0,Kings & Queens,87,2020-09-18,1InCpEliLCkWHOBdXW7XSx,0.0405,1.0,129.857,4,0.457,36,162398,6,88,2428407,1,['4npEfmQ6YuiwW1GpUmaq3F']
2,0.0517,Rod Wave,2020-08-22,0.744,0.648,0.0,174768,0.174,-8.66,0,Freestyle,61,2020-07-31,0qI2Zclmx79YzOREH3UCtr,0.0623,1.0,154.063,5,0.523,41,174768,8,82,1291018,1,['45TgXXqMDdF8BkjA83OM7z']
3,0.0791,Jameson Rodgers,2020-08-22,0.431,0.831,0.0,184893,0.312,-5.108,1,Some Girls,76,2018-01-19,54eUv9Q3D9MZuOGS5PSflp,0.0474,1.0,167.96,4,0.352,1,184893,8,66,29040,1,['5pyVHz7lcfqKoV9BflFYwN']
4,0.0662,Mulatto,2020-08-22,0.834,0.531,0.0,224119,0.136,-5.708,1,B*tch From Da Souf (Remix),68,2019-12-04,2zUbimuKNWDMCwbqNauLWV,0.36,1.0,150.126,4,0.415,1,224119,8,81,1765842,3,"['3MdXrJWsbVzdn6fe5JYkSQ', '4PrinKSrmILmo0kERG0Ogn', '6cK3NBO6uP7hh0oyuVELFl']"
0,0.795,Billie Eilish,2020-08-15,0.444,0.309,0.132,208155,0.352,-10.956,1,my future,85,2020-07-30,2ygvZOXrIeVL4xZmAWJT2C,0.062,1.0,104.745,4,0.0875,183,208155,13,93,34385382,1,['6qqNVTkY8uBg9cP3Jd7DAH']
1,0.634,Dan + Shay,2020-08-15,0.721,0.277,0.0,171826,0.112,-7.128,1,I Should Probably Go To Bed,78,2020-07-31,5ovVcYo2MvjVydFwFyaaqy,0.0365,1.0,131.935,4,0.309,178,171826,8,81,1930866,1,['7z5WFjZAIYejWy0NI5lv4T']
0,0.537,Taylor Swift,2020-08-08,0.613,0.581,0.000345,239560,0.25,-8.588,0,cardigan,84,2020-07-24,4R2kfaDFhslZEMJqAFNpdd,0.0424,1.0,130.033,4,0.551,863,239560,12,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
1,0.757,Taylor Swift,2020-08-08,0.777,0.357,7.28e-06,210251,0.108,-6.942,1,the 1,81,2020-07-24,0Jlcvv8IykzHaSmj49uNW8,0.0522,1.0,139.883,4,0.172,863,210251,10,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
2,0.467,Taylor Swift,2020-08-08,0.686,0.662,0.0023,230999,0.109,-8.505,1,the last great american dynasty,78,2020-07-24,2Eeur20xVqfUoM3Q7EFPFt,0.0413,1.0,147.922,4,0.706,863,230999,5,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
3,0.806,Taylor Swift,2020-08-08,0.456,0.263,0.0,255893,0.0749,-10.63,1,my tears ricochet,77,2020-07-24,1MgV7FIyNxIG7WzMRJV5HC,0.0332,1.0,129.86,4,0.111,863,255893,9,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
4,0.538,Taylor Swift,2020-08-08,0.532,0.623,7.28e-05,261922,0.0925,-9.208,1,august,79,2020-07-24,3hUxzQpSfdDqwM3ZTFQY0K,0.0331,1.0,89.937,4,0.403,863,261922,12,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
5,0.687,Taylor Swift,2020-08-08,0.553,0.413,2.33e-06,208977,0.0594,-10.037,1,mirrorball,76,2020-07-24,0ZNU020wNYvgW84iljPkPP,0.0334,1.0,110.107,4,0.379,863,208977,13,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
6,0.9,Taylor Swift,2020-08-08,0.596,0.488,2.7e-05,208906,0.091,-10.769,1,seven,76,2020-07-24,6KJqZcs9XDgVck7Lg9QOTC,0.0274,1.0,94.926,4,0.415,863,208906,10,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
7,0.838,Taylor Swift,2020-08-08,0.653,0.452,7.73e-05,252880,0.108,-11.143,0,invisible string,77,2020-07-24,6VsvKPJ4xjVNKpI8VVZ3SV,0.055,1.0,83.433,4,0.45,863,252880,7,95,33312478,1,['06HL4z0CvFAxyc27GXpf02']
