track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,artist_popularity,artist_followers
I'll Find My Way Back To You,The Cats,spotify:track:6h75uWeUhcaU9jL4WrXXvk,0.672,0.594,9,-7.348,1,0.0312,0.0206,6.4e-06,0.191,0.817,122.374,220147,4,21.09708,13,0,55,38684
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,36.52339,12,1,83,13777809
Instrumental Music for Dogs,Sleepy Dogs,spotify:track:4npQ1Y3UgJYrFw0ZtdZ5nX,0.286,0.00486,3,-28.462,1,0.0381,0.994,0.839,0.0965,0.0323,72.179,52013,4,15.26394,3,0,72,3695
Come Join The Murder,The White Buffalo & The Forest Rangers,spotify:track:1jZoQ2R3wgs1UbOhio9j8I,0.529,0.445,5,-7.156,1,0.0275,0.67,0.032,0.106,0.179,124.166,448093,4,25.91926,14,1,63,385761
Attitude,Sepultura,spotify:track:5hBKrgKMI929c0kHoNomu3,0.475,0.942,1,-4.287,0,0.139,0.00141,0.0797,0.0939,0.178,80.356,255400,4,54.87165,12,0,63,1125316
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,27.82757,8,1,95,29874558
Train Food,XXXTENTACION,spotify:track:5lar0mCUejpILVkAz50s2J,0.492,0.712,9,-7.278,0,0.691,0.564,9.1e-05,0.357,0.23,137.453,164083,3,31.63572,10,1,93,22674087
Sakura Trip,AIKA,spotify:track:6Cjbu2ayuoNNMC4aa78XmI,0.684,0.854,5,-5.499,1,0.0544,0.00911,0.797,0.0796,0.517,155.044,307383,4,25.20239,13,0,44,11296
Plies,Tanya Gordon,spotify:track:5TrZOMisS1kr2F42vsQEi0,0.447,0.0824,8,-19.868,1,0.0608,0.994,0.912,0.154,0.154,78.169,132450,3,75.15704,6,0,49,3000
Nights Like This,Kehlani Featuring Ty Dolla $ign,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4,40.891,9,1,90,7512633
Loved,Fresh Life Worship,spotify:track:5tfBKFnL5bhyOqKNeHoQc9,0.46,0.256,5,-9.276,1,0.0393,0.715,0,0.353,0.288,152.985,194227,4,25.96778,9,0,40,14727
