name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Hello,Erykah Badu,1rqduvolf1CVHSzY519bPp,0.437,0.526,-5.876,0,0.174,0.643,0.0,0.325,0.394,76.162,319958,4,10,0,,56,2015-11-27,0,71,1943109,1,['7IfculRW2WXyzNQ8djX8WX'],11,7IfculRW2WXyzNQ8djX8WX,Erykah Badu
Time's A Wastin,Erykah Badu,6q8fYYujrQxXckq1tTtqqi,0.673,0.326,-10.684,0,0.0878,0.201,0.00144,0.201,0.458,75.387,400840,4,14,0,,54,2000-10-31,0,71,1943109,1,['7IfculRW2WXyzNQ8djX8WX'],11,7IfculRW2WXyzNQ8djX8WX,Erykah Badu
Back In The Day,Erykah Badu,5v1SuYGd6VFMGu8nVHzajO,0.744,0.548,-9.245,0,0.104,0.191,0.0232,0.186,0.524,91.845,286920,4,11,0,,50,2003-09-01,0,71,1943109,1,['7IfculRW2WXyzNQ8djX8WX'],5,7IfculRW2WXyzNQ8djX8WX,Erykah Badu
Need a Bar Sometimes,Clay Walker,05uSddJIkn7aCcGZOLe5VO,0.593,0.774,-4.385,1,0.0324,0.0069,0.0,0.0721,0.762,122.049,163560,4,8,0,,51,2020-08-14,0,61,741546,1,['4MPkNgar5uTd8Sqvrr7par'],7,4MPkNgar5uTd8Sqvrr7par,Clay Walker
Then What?,Clay Walker,7Ihl2uNgZmwaOyp9KRHGsA,0.564,0.806,-8.227,1,0.063,0.169,0.0,0.0663,0.633,176.405,183706,4,8,0,,47,2010-08-23,0,61,741546,1,['4MPkNgar5uTd8Sqvrr7par'],4,4MPkNgar5uTd8Sqvrr7par,Clay Walker
If I Could Make a Living,Clay Walker,707ayNK8mQkl7VcsyEWMh4,0.598,0.777,-6.751,1,0.0321,0.18,0.0,0.285,0.873,156.053,132413,4,8,0,,47,2010-08-23,0,61,741546,1,['4MPkNgar5uTd8Sqvrr7par'],5,4MPkNgar5uTd8Sqvrr7par,Clay Walker
Fore She Was Mama,Clay Walker,3AfCiIJ6blcN5oyMnu3Tvi,0.606,0.702,-4.691,1,0.0263,0.337,0.0,0.13,0.632,84.969,220026,4,8,0,,46,2007-04-17,0,61,741546,1,['4MPkNgar5uTd8Sqvrr7par'],2,4MPkNgar5uTd8Sqvrr7par,Clay Walker
This Woman and This Man,Clay Walker,1FkD56SgSNl5SBU6mVMU2i,0.586,0.581,-9.19,0,0.0345,0.0366,0.0,0.0428,0.46,147.982,262680,4,16,0,,42,2010-08-23,0,61,741546,1,['4MPkNgar5uTd8Sqvrr7par'],6,4MPkNgar5uTd8Sqvrr7par,Clay Walker
That's Beautiful To Me,Jaron And The Long Road To Love,1Ru5vsu25ZARIvXtXj1TYu,0.302,0.464,-5.715,1,0.0447,0.7,0.0,0.103,0.366,71.322,187600,4,7,0,,34,2010-01-01,0,49,10435,1,['1gnxlAhv4TnE1Kbvcbv8QI'],7,1gnxlAhv4TnE1Kbvcbv8QI,Jaron And The Long Road To Love
Talk So Much,Spose,0JNItow1cYxr7Y6v7N13Ni,0.711,0.872,-3.3,1,0.285,0.0716,0.0,0.2,0.686,86.817,215731,4,5,0,,54,2020-11-11,0,69,499044,3,"['3tM6SwRysCaIK0kW4h0mVP', '3IstlZaHyUP9SONpulb4SM', '5lC7N2Mm9i92KSfW4opawO']",2,3tM6SwRysCaIK0kW4h0mVP,Spose
