name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year
DIRTY DIANA,Gunna,2sslt79Mt6xtu8nspYgIcB,0.8059999999999999,0.626,-8.658999999999999,1,0.0803,0.0622,0.0,0.106,0.389,126.029,129826,4,8,0,,60,2020-07-24,3,93,2640627,1,['2hlmm7s2ICUX0LVIhVFlZQ'],1,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2020
Heard Em Say,Logic,6KASl3S3bdyrn8GxjlVimb,0.473,0.904,-3.958,1,0.225,0.0248,0.0,0.36200000000000004,0.159,86.82799999999999,216000,4,8,0,,61,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],4,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
5 Hooks,Logic,7ikkUWdCqtyEGgSPyVxePq,0.552,0.861,-4.114,0,0.243,0.125,0.0,0.38799999999999996,0.56,86.639,232921,4,5,0,,61,2020-07-24,75,85,5025435,1,['4xRYI6VqpkE3UwrDrAZL8L'],4,4xRYI6VqpkE3UwrDrAZL8L,Logic,2020
Do What You Can - Single Edit,Bon Jovi,6ez3IboQRganbZ0y51nrm3,0.332,0.7709999999999999,-5.05,1,0.0362,0.009059999999999999,2.53e-06,0.28800000000000003,0.6859999999999999,172.107,231400,4,8,0,,55,2020-07-23,91,82,8529894,1,['58lV9VcRSjABbAbfWS6skp'],8,58lV9VcRSjABbAbfWS6skp,Bon Jovi,2020
Somebody That I Used to Know,Three Days Grace,100lHmeZbp3OvinYgotmVc,0.6,0.639,-7.705,0,0.0388,0.00062,1.85e-06,0.249,0.513,119.962,209719,4,9,0,,65,2020-07-22,104,79,4076023,1,['2xiIXseIJcq3nG7C8fHeBj'],11,2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,2020
Save Myself,Ashe,6QDZlGAY1njNqAdOM6PryZ,0.55,0.544,-9.21,1,0.0356,0.38299999999999995,0.0,0.317,0.526,146.821,224502,4,11,0,,67,2020-07-22,0,75,342070,1,['6P5NO5hzJbuOqSdyPB7SJM'],9,6P5NO5hzJbuOqSdyPB7SJM,Ashe,2020
Difficult,Kevin Gates,5712GbGUZYvWjMGx1ACJu4,0.7040000000000001,0.599,-7.797000000000001,1,0.271,0.13,0.0,0.155,0.539,118.88600000000001,260168,4,12,0,,62,2020-07-21,62,80,3732574,1,['1gPhS1zisyXr5dHTYZyiMe'],2,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,2020
Hotel Lobby,Pop Smoke,5xKXcU8tpSYz7C7wrMMYec,0.688,0.61,-6.79,1,0.109,0.198,0.0015400000000000001,0.114,0.201,88.995,151011,4,5,0,,71,2020-07-20,26,96,2602526,1,['0eDvMgVFoNV3TpwtrVCoTj'],11,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2020
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2r6OAV3WsYtXuXjvJ1lIDi,0.905,0.647,-5.065,0,0.107,0.0187,0.0,0.282,0.36700000000000005,130.97,190534,4,5,0,,86,2020-07-20,26,96,7821492,2,"['0eDvMgVFoNV3TpwtrVCoTj', '31W5EY0aAly4Qieq6OFu6I']",10,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2020
Patience,Chris Cornell,7n3u7RrzdXGVcclBEp9aSa,0.597,0.6459999999999999,-7.377999999999999,0,0.0344,0.28,0.0,0.111,0.364,126.95100000000001,253120,4,12,0,,68,2020-07-20,0,67,1382071,1,['0XHiH53dHrvbwfjYM7en7I'],6,0XHiH53dHrvbwfjYM7en7I,Chris Cornell,2020
Imperfections (Interlude),Pop Smoke,42er1na9BHF1ERol51wg8M,0.774,0.513,-5.024,1,0.0778,0.907,0.0,0.11,0.324,91.03,108131,4,7,0,,72,2020-07-20,26,96,2602526,1,['0eDvMgVFoNV3TpwtrVCoTj'],7,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2020
Paranoia (feat. Gunna & Young Thug),Pop Smoke,3QqJ44HiM84iyZS0G2IKIP,0.568,0.6459999999999999,-4.369,0,0.21899999999999997,0.231,0.0,0.12,0.24,143.877,212658,1,12,0,,73,2020-07-20,26,96,10918247,3,"['0eDvMgVFoNV3TpwtrVCoTj', '2hlmm7s2ICUX0LVIhVFlZQ', '50co4Is1HCEo8bhOyUWKpn']",2,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2020
Backseat (feat. PnB Rock),Pop Smoke,0fj9oGrCKxVA4sXDxvbfiM,0.7040000000000001,0.542,-6.277,1,0.0326,0.5770000000000001,0.0,0.11800000000000001,0.371,89.98200000000001,170669,4,7,0,,71,2020-07-20,26,96,5360808,2,"['0eDvMgVFoNV3TpwtrVCoTj', '21WS9wngs9AqFckK7yYJPM']",7,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2020
Entanglements,August Alsina,6TFGUXmdBVux66s5BgEvd0,0.59,0.772,-3.5989999999999998,1,0.172,0.264,0.0,0.34,0.748,155.852,188472,4,9,0,,65,2020-07-19,20,83,6411386,2,"['19Fi1Rj7kk8kyiwxpXy3yM', '1sBkRIssrMs1AbVkOJbc7a']",1,19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,2020
Kill Me Slow,David Guetta,2NZJKUPIGfJqLAzONNr4gv,0.698,0.8590000000000001,-5.234,0,0.0605,0.114,0.20800000000000002,0.228,0.518,126.039,208095,4,8,0,,68,2020-07-17,274,89,21750653,2,"['1Cs0zKBU1kc0i8ypK3B9ai', '19HFRWmRCl27kTk6LeqAO8']",6,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2020
Stuntin' On You (feat. DaBaby),Tyla Yaweh,341lTIxmhybbQsgydwJiFx,0.7959999999999999,0.6829999999999999,-5.165,0,0.27699999999999997,0.0111,2.58e-06,0.126,0.737,173.852,141122,3,9,0,,78,2020-07-17,0,95,5149685,2,"['1MXZ0hsGic96dWRDKwAwdr', '4r63FhuTkUYltbVAg5TQnk']",10,1MXZ0hsGic96dWRDKwAwdr,Tyla Yaweh,2020
On The Way (feat. Mila J),Jhené Aiko,423NhOTzoqgeaIJbrUzSoo,0.575,0.44299999999999995,-11.626,0,0.28,0.7559999999999999,0.0,0.109,0.6579999999999999,113.86200000000001,222600,4,9,0,,70,2020-07-17,0,84,4363369,2,"['5ZS223C6JyBfXasXxrRqOk', '6cN9XwPMj9bWzJ32GC6V7v']",7,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,2020
Imagine,Steve Aoki,5usaydQKInuUpnaWQVTGM0,0.645,0.738,-4.92,1,0.0589,0.0033399999999999997,0.000105,0.12,0.255,119.859,225000,4,10,0,,65,2020-07-17,9,81,4021683,3,"['77AiFEVeAVj2ORpC85QVJs', '6rcE30MaP92XafelMNZ2Sq', '6dn6x1XOng3LOAnfTjUn77']",1,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,2020
What's Love Got to Do with It,Kygo,3Be7CLdHZpyzsVijme39cW,0.75,0.664,-5.9079999999999995,0,0.154,0.275,0.0,0.0632,0.617,105.023,208156,4,11,0,,82,2020-07-17,44,88,8995268,2,"['23fqKkggKUBHNkbKtXEls4', '1zuJe6b1roixEKMOtyrEak']",8,23fqKkggKUBHNkbKtXEls4,Kygo,2020
Toxic,StaySolidRocky,0TGhavJ0g5OyhWGunuai4y,0.93,0.381,-13.657,1,0.408,0.537,1.84e-05,0.22699999999999998,0.5760000000000001,116.977,213615,4,6,0,,50,2020-07-17,0,76,118243,1,['1XLWox9w1Yvbodui0SRhUQ'],9,1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,2020
YES! (feat. Rich The Kid & K CAMP),KYLE,2XeMW0BNHdAbXVRZ3C1D09,0.758,0.6659999999999999,-8.088,1,0.14,0.0318,0.00418,0.289,0.701,162.083,194347,4,8,0,,69,2020-07-17,0,80,4541871,3,"['4qBgvVog0wzW75IQ48mU7v', '5bgfj5zUoWpyeVatGDjn6H', '1pPmIToKXyGdsCF6LmqLmI']",8,4qBgvVog0wzW75IQ48mU7v,KYLE,2020
A Song to Remember,A Thousand Horses,62Ovt2av0MlBvorjVeINQP,0.5479999999999999,0.836,-6.371,0,0.0389,0.000297,0.0,0.126,0.522,114.89299999999999,191614,4,10,0,,70,2020-07-17,0,59,65962,1,['55RI2GNCfyXr0f14uIdhwd'],1,55RI2GNCfyXr0f14uIdhwd,A Thousand Horses,2020
Summer 2020,Jhené Aiko,0t2q2c43AATY4z1GI883Be,0.401,0.485,-10.787,0,0.21600000000000003,0.831,0.000292,0.0907,0.54,169.949,196000,4,7,0,,64,2020-07-17,0,84,3849441,1,['5ZS223C6JyBfXasXxrRqOk'],6,5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,2020
Soft Aggression,StaySolidRocky,7ALKr3IcKvSs293OTlffx7,0.785,0.361,-13.036,0,0.52,0.858,0.0,0.113,0.684,144.13,197200,4,7,0,,44,2020-07-17,0,76,118243,1,['1XLWox9w1Yvbodui0SRhUQ'],6,1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,2020
Funny,Zedd,4FYbo4yQzu3hGkj2Ix4ucW,0.664,0.66,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,221465,4,11,0,,77,2020-07-16,159,83,5995428,2,"['2qxJFvFYMEDqd7ui6kSAcq', '2TL8gYTNgD6nXkyuUdDrMg']",5,2qxJFvFYMEDqd7ui6kSAcq,Zedd,2020
