name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
Give Me You,Mary J. Blige,322YZMhGoiDqtgjMum2Odb,0.653,0.417,-7.86,1,0.0462,0.0437,6.670000000000001e-05,0.307,0.0424,109.961,305160,4,14,1,2000-04-15,24,1999-12-14,29,78,6298395,2,"['1XkoF8ryArs86LZvFOkbyr', '6PAt558ZEZl0DmdXlnjMgD']",9,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige
Crash and Burn,Savage Garden,60g4sp8i3gXSb1EkphMl1g,0.581,0.607,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,281466,4,15,1,2000-04-08,55,1999-11-09,34,69,760127,1,['3NRFinRTEqUCfaTTZmk8ek'],4,3NRFinRTEqUCfaTTZmk8ek,Savage Garden
Better Off Alone (Remastered) - 1999 Original Hit Radio,Alice Deejay,48gBfTRel9fajeev7tmLpo,0.6659999999999999,0.8540000000000001,-8.442,0,0.0565,0.0044,0.769,0.313,0.748,136.954,215246,4,12,1,2000-04-08,58,2011-06-20,0,49,60467,1,['0aNCjE72yyrhKQB1qfPBpi'],8,0aNCjE72yyrhKQB1qfPBpi,Alice Deejay
Purest of Pain (A Puro Dolor) - Martinee's Radio (Spanish),Son By Four,6RUa3ZwZYnJnNgZxtIYJR9,0.593,0.939,-3.431,1,0.0616,0.45,1.33e-05,0.109,0.743,134.108,247480,4,9,1,2000-04-08,11,1999,0,57,68029,2,"['1qyAl8T6GTcaOViaI7fs1j', '7AOI1S3Uy411dDhNTdSC0f']",7,1qyAl8T6GTcaOViaI7fs1j,Son By Four
Kryptonite,3 Doors Down,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,-5.7079999999999975,0,0.0286,0.006640000000000001,1.1e-05,0.168,0.5429999999999999,99.009,233933,4,13,1,2000-04-08,78,2000,0,74,2935121,1,['2RTUTCvo6onsAnheUk3aL9'],11,2RTUTCvo6onsAnheUk3aL9,3 Doors Down
Yes!,Chad Brock,1PrZOkFxJqTZAH8P3x87hW,0.674,0.623,-5.97,1,0.0283,0.004079999999999999,5.610000000000002e-05,0.0488,0.452,126.547,206733,4,9,1,2000-04-08,45,2000,32,37,24207,1,['24VF2kZrBFn1WvJ5oF1SRf'],2,24VF2kZrBFn1WvJ5oF1SRf,Chad Brock
Be With You,Enrique Iglesias,1lZ4j5WBURBwZ0M5TT46wP,0.69,0.871,-5.484,0,0.0329,0.0359,0.000843,0.0347,0.561,121.984,220160,4,9,1,2000-04-01,54,1999-11-23,37,81,9670477,1,['7qG3b048QCHVRO5Pv1T5lw'],1,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias
Where You Are (featuring Nick Lachey) (feat. Nick Lachey) - New Version,Jessica Simpson,5u5YZpr7Ccrgw2RnYNzwjl,0.586,0.527,-7.17,1,0.0306,0.252,0.0,0.119,0.0717,115.989,271893,4,9,1,2000-04-01,44,1999-11-16,20,57,977954,2,"['2tFN9ubMXEhdAQvdQxcsma', '6ewMqjrF31lC8ywRsvm073']",8,2tFN9ubMXEhdAQvdQxcsma,Jessica Simpson
What I Need to Do,Kenny Chesney,203F5fqdu8WK880DM2cqVe,0.622,0.428,-10.146,1,0.0338,0.4320000000000001,1.2e-05,0.119,0.229,77.127,244293,4,13,1,2000-04-01,42,2000-09-25,52,77,3196265,1,['3grHWM9bx2E9vwJCdlRv9O'],8,3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney
Real Live Woman,Trisha Yearwood,3a1zG1WBUNifXQjBKzsgSm,0.626,0.41,-8.551,1,0.0284,0.616,3.11e-05,0.145,0.34600000000000003,126.517,234400,4,10,1,2000-04-01,26,2000-01-01,10,62,759093,1,['3XlIhgydjvC4EniPFZT20j'],10,3XlIhgydjvC4EniPFZT20j,Trisha Yearwood
