name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name,release_year,chart_year
Midnight Mess Around,Old Dominion,0nk8iLaRdZ0Ns8eulaI48h,0.684,0.7759999999999999,-5.785,1,0.0331,0.10099999999999999,0.0,0.0914,0.698,100.006,235186,4,10,0,,52,2019-10-25,136,74,885830,1,['6y8XlgIV8BLlIg1tT1R10i'],3,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,2019,
No One Compares To You,Jack & Jack,4cZ3UsiKd1kUQIaq4BFIj2,0.7,0.748,-6.044,1,0.0434,0.127,0.0,0.0941,0.631,111.939,182920,4,10,0,,73,2019-01-25,0,69,1212672,1,['1INuLZXjjVbcJRyWvD1iSq'],1,1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,2019,
Brand New Man - with Luke Combs,Brooks & Dunn,001UkMQHw4zXfFNdKpwXAF,0.573,0.846,-4.8660000000000005,1,0.0344,0.00372,7.87e-05,0.29,0.562,127.061,191053,4,6,0,,69,2019-04-05,0,88,5458408,2,"['0XKOBt59crntr7HQXXO8Yz', '718COspgdWOnwOFpJHRZHS']",7,0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,2019,
Star Shopping,Lil Peep,30bqVoKjX479ab90a8Pafp,0.585,0.47100000000000003,-9.934,0,0.0616,0.0967,0.0184,0.115,0.32299999999999995,93.09899999999999,142000,4,8,0,,86,2019-04-19,1,91,5404627,1,['2kCcBybjl3SAtIcwdWpUe3'],4,2kCcBybjl3SAtIcwdWpUe3,Lil Peep,2019,
Cattitude (feat. RuPaul),Miley Cyrus,0uZd8cKaTyNogTREourFY5,0.8009999999999999,0.851,-5.6979999999999995,0,0.175,0.00785,0.0009660000000000001,0.385,0.705,121.065,189973,4,7,0,,55,2019-05-31,231,89,13669017,2,"['5YGY8feqx7naU7z4HrwZM6', '2SdOKxC1sSxEyv8JYERaNe']",6,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,2019,
Christmas In The Country,Thomas Rhett,4n0NTwp3bu4TFpePsRv6Fb,0.637,0.695,-5.858,1,0.0316,0.0773,0.0,0.0794,0.493,81.01,205586,4,12,0,,52,2019-11-20,244,81,3607866,1,['6x2LnllRG5uGarZMsD4iO8'],8,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,2019,
Cuz I Love You,Lizzo,6YdQgWSpsxhVeX6Xmv3IFJ,0.5660000000000001,0.66,-4.039,1,0.0479,0.0156,0.0,0.23399999999999999,0.52,162.159,179978,3,10,0,,66,2019-04-19,1,80,3337884,1,['56oDRnqbIiwx4mymNEv7dS'],1,56oDRnqbIiwx4mymNEv7dS,Lizzo,2019,
I Don't Want Your Money (feat. H.E.R.),Ed Sheeran,3FHXUqaUer9o231Je1zxIN,0.46799999999999997,0.63,-6.5360000000000005,0,0.0843,0.31,0.0,0.13699999999999998,0.762,91.419,204506,4,9,0,,64,2019-07-12,332,93,75358203,2,"['6eUKZXaKkcviH0Ku9w2n3V', '3Y7RZ31TRPVadSFVy1o8os']",8,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,2019,
Just for Now,Maren Morris,0B0Kv1dO7clBuDwZMO0dxP,0.555,0.636,-5.0969999999999995,1,0.034,0.11599999999999999,0.0,0.16699999999999998,0.603,137.732,240958,4,10,0,,56,2019-03-08,63,79,530238,1,['6WY7D3jk8zTrHtmkqqo5GI'],8,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,2019,
Dear Today,Luke Combs,4hRIRj7aJYKo14MxOb8ILh,0.49200000000000005,0.21,-10.658,1,0.0359,0.606,1.35e-06,0.109,0.368,153.017,219733,4,10,0,,64,2019-11-08,183,88,3811409,1,['718COspgdWOnwOFpJHRZHS'],1,718COspgdWOnwOFpJHRZHS,Luke Combs,2019,
