name,artist,song_id,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sections,target,chart_date,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,list_of_artists,key,artist_id,lead_artist_name
my hair,Ariana Grande,6u7gmPOz7pzzaeR9xSBpsR,0.6859999999999999,0.526,-6.8420000000000005,1,0.0374,0.0815,7.75e-06,0.14400000000000002,0.3720000000000001,92.013,158436,4,8,1,2020-11-14,83,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
obvious,Ariana Grande,0q85C1JiECyYIQthz1posA,0.624,0.672,-5.334,1,0.106,0.0967,0.0,0.155,0.26,159.852,146958,4,6,1,2020-11-14,82,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
west side,Ariana Grande,1whfVLMKWqAX3uk97VXsNN,0.688,0.455,-8.632,0,0.199,0.18600000000000005,0.0,0.0794,0.557,87.865,132278,4,5,1,2020-11-14,81,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],11,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
love language,Ariana Grande,6NYtLvyThMT0oALFdJFdzq,0.688,0.573,-5.03,0,0.208,0.0686,0.0,0.0749,0.5529999999999999,110.034,179860,4,9,1,2020-11-14,81,2020-10-30,454,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],10,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Weeeeee,Trippie Redd,2PI3qpTqYowwMzOSQRuj73,0.7290000000000001,0.503,-8.229,1,0.081,0.111,0.0,0.123,0.152,134.92700000000002,152920,4,6,1,2020-11-14,74,2020-10-30,34,91,5497872,1,['6Xgp2XMz1fhVYe7i6yNAax'],0,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
Stay Down (with 6LACK & Young Thug),Lil Durk,6w4PV16oMh5I6ZOCvig0hK,0.813,0.57,-8.408999999999999,0,0.265,0.0909,0.0,0.0982,0.6759999999999999,109.07,169330,4,9,1,2020-11-14,75,2020-10-30,18,93,10121309,3,"['3hcs9uc56yIGFCSy9leWe7', '4IVAbR2w4JJNJDDRFP3E83', '50co4Is1HCEo8bhOyUWKpn']",3,3hcs9uc56yIGFCSy9leWe7,Lil Durk
THICK,DJ Chose,0YYNIGKgAk34vZkV2NySie,0.87,0.752,-6.615,1,0.3720000000000001,0.0352,1.1e-06,0.269,0.591,145.118,178834,4,9,1,2020-11-14,79,2020-07-10,1,70,40693,2,"['28Jt29jw6Smc3ZkzALTouq', '5L8p9kDnX2cgoI8VLUL2p4']",4,28Jt29jw6Smc3ZkzALTouq,DJ Chose
Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4,10,1,2020-11-14,92,2020-07-22,326,91,8402478,1,['07YZf4WDAMNwqr4jfgOZ8y'],2,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172324,4,8,1,2020-11-07,91,2020-10-30,453,99,52530274,1,['66CXWjxzNUsdJxJ2JdwvnR'],0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,10,1,2020-11-07,86,2020-10-23,207,88,3741333,1,['718COspgdWOnwOFpJHRZHS'],0,718COspgdWOnwOFpJHRZHS,Luke Combs
